Before,During,After
initially,live_session,culmination
incipience,performing,ongoing_impact
infancy,moment,spillover
instigator,midway,consequent
birth,conduction,sunset
initial,working,log
instigator,happening_now,moving_forward
beforehand,staging,ensuing
obsolete,tenure,proceeding
preamble,in-course,concluding
kickoff,pending,residual
onset_phase,interval,retire
precursory,being_done,residual
vacated,transitioning,future_state
presage,flowing,record
inceptive,simulcast,eventually
inauguration,execution,postscript
prelude,amid,finalized
threshold,progressing,subsequently
preceding,carrying_out,new_start
instructive,actuality,succeeding
emergence,covering,future
foretime,instantly,windup
activate,operation_time,consequent
arising,just_now,consequent
before,conduction,recovery
birth,as,retire
warning,coinciding,complete
emergence,actuality,retrospect
initiation,rolling,achievement
start_point,circumstance,hindsight
discarded,timely,realized
activate,performing,finalized
birth,happening_now,proceeding
entry_point,intervening,henceforth
earliest_times,commanding,eventually
originator,just_in,conclusion
initiative,just_now,spillover
old,taking_effect,renewed
retired,inside_time,fate
old,middle_of,sequel
entry_point,daytime,finalized
earliest_times,throughout,learning
opener,ongoing,postscript
intro,amidst,moving_forward
initial,evolving_phase,ultimately
founded,live_session,conclusion
beginning,performing,outlook
first,current_event,ultimately
catalyst,instantaneous,stepping_up
portent,present_time,legacy_phase
yesteryear,passage,delivered
yesteryear,transitioning,post
opener,real_time,established
in_the_past,temporal,sunset
setoff,execution,spillover
infancy,circumstance,evaluation
initiate,interstitial,outcome
old,at_the_same_time,finished_up
preceeding,in_between_time,renewed
scaffold,performing,log
trailblazer,passage,retrospect
precursor,pending,prognosis
preliminary,ongoing_task,delivered
initially,in_between_time,ongoing_impact
intro,simulcast,denouement
beginning,ongoing_process,next
inceptive,actuality,culmination
vacated,transpiring,wrap_up
arising,middle_of,retrospective
beginning,incident,stabilized
prelude,advance_in_progress,rear
prologue,in_between,achieved
foregoing,throughout,rear
inauguration,happens_to_be,follow_on
past,in_motion,posterior
trailblazer,live_session,direction
old,throughout,as_a_result
outdated,daytime,eventually
herald,intervening,end_phase
upfront,interstitial,final_phase
opening,going_on,end_phase
ancestral,middle_of,summary
dawn,taking_place,trace
first_step,ongoing_task,wrap_up_event
ante,operational,set_path
foreboding,midst,new_phase
origin,functioning,carryover
spearhead,segment,progressed
early_days,continuing,henceforth
presage,operation_time,subsequently
ignite,intervening,future_state
before_times,interval,epilogue
forephase,ongoing_moment,spillover
commencement,coinciding,post_reflection
initiate,ongoing_phase,backstory
presage,midst,outcome
instructive,ongoing_task,gained
presage,midway,afters
introductory,engagement,resulting
advance,flowing,henceforth
headway,acting_out,refined
start,incident,output
kickoff,happening_now,coda
inauguration,operation_time,recovery
foreword,in_motion,henceforth
begin,happening,repercussion
headstart,intervening,reformed
prior_to,current_event,established
dawn,performing,henceforth
instructive,underway,enclosure
already,live_phase,learning
onset_phase,in-course,effect
once,simulcast,afters
opening,happening,renewed
origin,live_phase,achieved
pathfinder,ongoing_task,thereafter
trailblazer,while,exit
dawn,subsequent_to_start,end_phase
upfront,in-course,final_phase
formerly,in_real_time,finale
aforetime,moment,close
introductory,instantly,report
previously,interim,repercussion
presage,intervening,following
ancestral,pending,transformed
beforehand,concurrent,output
herald,intermission,report
scaffold,unfolding,wrap
germinal,amid,recounted
flint,evolving_phase,retrospect
dawn,taking_effect,gained
scaffold,processing,delivered
deceased,occupying,archive
set_in_motion,advance_in_progress,culmination
set_in_motion,instantaneous,report
intro,acting_out,tail_end
prologue,actuality,chronicle
infancy,operating,post
nascent,happening,memory
prelude_to,elapsed,in_the_end
incipience,subsequent_to_start,repercussion
threshold,elapsed,epilogue
before,realizing,chronicle
forerunner,performing,final_act
prelude,mid-phase,carryover
beforehand,execution_phase,follow_through
forephase,operation_time,windup
originator,in_the_now,concluding
initial,timely,solidified
relinquished,in_frame,resulting
incipience,realizing,concluding
relinquished,in_between_time,achieved
momentum,ongoing_phase,lookback
initially,happening,built
initial_phase,co-occurring,future_state
flint,going_on,eventually
startup,passage,enclosure
pioneering,duration,backstory
momentum,working_on,carryover
abandoned,relevant_time,residue
old,ongoing_phase,spillover
commencement,flowing,eventually
yesteryear,current,therefrom
outdated,at_the_same_time,residual
instigator,in_between_time,postscript
early_days,active,assessment
earlier,segment,direction
foretime,tenure,learning
set_in_motion,throughout,expiry
upfront,maintained,tail_end
run-up,in_frame,after
first_step,ongoing_task,in_the_end
alarm,ongoing_process,rear
precursor,covering,stepping_up
startup,instantly,ongoing_impact
archaic,moment,delivered
forerunner,right_now,resolved
preparation,timely,solidified
onset,rolling,consequent
first_step,in_parallel,follow_through
foreword,interstitial,recounted
incipience,simultaneously,record
preamble,middle_of,achievement
preamble,as,residual
previously,middle_time,output
prelude_to,concurrently,wrap
entry_point,evolving_phase,achievement
prior,duration,resolution
beginning,live_session,backstory
initial_phase,present_time,fate
set_in_motion,simultaneously,culmination
ignite,mid-phase,effect
previously,in_parallel,subsequently
scaffold,carrying_out,renewed
deceased,just_in,improved
announced,mid-phase,built
incipient,unfolding,lookback
instigator,unfolding,tail_end
early_days,happens_to_be,finished_up
incipience,operational,outcome
foreword,right_now,realized
relinquished,interim,assessment
first_time,realizing,consequently
precursor,just_now,insight
early_days,concurrently,carryover
earliest,taking_effect,ensuing
preceeding,middle_of,spillover
precursory,temporal_flow,residue
opener,in_between,consequently
launchpad,subsequent_to_start,after
set_out,acting,proceeding
commencement,temporal,eventually
previously,mid-action,follow_through
foretime,temporal_flow,gained
earliest,throughout,progressed
instructive,still_happening,residue
intro,carrying_out,concluding
start,interim,residual
proactive,commanding,reformed
introductory,occupying,exit
start,span,trace
nascent,inside_time,after
founded,live_session,consequences
scaffold,mid-action,summary
preexistence,operating,retire
spearhead,circumstance,direction
prelude_to,pending,record
pioneering,in-course,report
spark,happening,report
formerly,interim,hindsight
founded,dynamically,established
spark,ongoing_task,ensuing
in_advance,transpiring,final_act
beginning,operating,record
departed,simulcast,finally
predating,execution,achieved
preceding,in_frame,reformed
pathfinder,progressing,summary
prologue,continuing,concluding
original,working,ending
forerunner,live_phase,retrospect
scaffold,middle_of,finale
previous,current_event,delivered
intro,daytime,wrap_up
past,in_the_zone,epilogue
incipience,in-course,trace
departed,engaged,residual
departed,while,succeeding
launchpad,nonstop,report
foreword,in_real_time,memory
start_point,interval,new_phase
commencement,nonstop,stepping_up
time_before,pending,backstory
already,momentary,recovery
beginning,at_the_same_time,moving_forward
launchpad,evolving,resolution
preceding,ongoing_phase,succeeding
initially,rolling_phase,windup
preceeding,amid,carryover
founded,execution,wrap_up
precursory,amidst,hindsight
set_in_motion,passage,rear
preexistence,working_on,summary
prelude_to,real_time,thereafter
bygone,performing,established
catalyst,co-occurring,enclosure
announced,transpiring,legacy_phase
opener,still_happening,consequently
beginning,in_real_time,rear
start_point,in_parallel,follow_through
original,timely,sequel
already,during,henceforth
proactive,interval,future_state
leading_up,concurrent,prognosis
origin,actuality,improved
erstwhile,coinciding,later
in_advance,execution,consequent
dawn,in_the_zone,carryover
previous,committed,backstory
introduction,middle_of,finalized
deceased,midst,stepping_up
origin,at_the_same_time,expiry
vacated,active,in_the_end
initial_phase,progressing,insight
previous,transpiring,legacy
in_the_past,in_between_time,tail_end
erstwhile,throughout,refined
initiation,co-occurring,insight
trigger,continuously,outlook
foreboding,flowing,ensue
foreword,just_in,end_phase
origin,commanding,close
prior,continuously,transformed
catalyst,right_now,improved
set_in_motion,happening_now,fulfillment
prelude,execution,archive
founded,processing,fate
founded,intermission,finale
erstwhile,interim,carryover
prior_to,coinciding,finally
yesteryear,during,next
forerunner,conduction,conclusion
ahead_of,course_of,consequent
preexistent,middle_time,chronicle
vacated,circumstance,concluding
flint,continuing,posterior
groundwork,just_now,expiry
catalyst,period,succeeding
time_before,midst,next
sooner,ongoing_phase,established
preceding,real_time,future
headway,meantime,record
archaic,segment,reflection
inauguration,acting,hindsight
entry_point,engaged,afterward
upfront,staging,prognosis
set_out,advance_in_progress,post_phase
sooner,treading,memory
launchpad,during,outcome
signal,segment,enclosure
lead-up,evolving_phase,final_act
previous,temporal,solidified
kickoff,in_motion,improved
headstart,in_the_now,resolution
begin,continuing,post_phase
initiation,maintained,post_phase
earlier,proceeding,achievement
preexistence,midst,fulfillment
portent,current_event,legacy
preliminary,temporal,wrap
set_in_motion,happens_to_be,fulfillment
instigator,moment,reformed
beginning,continuously,consequent
proactive,engaged,therefrom
preliminary,interim,refined
start_point,operation_time,decision
prelude_to,meantime,transformed
takeoff,acting_out,lookback
emergence,duration,consequently
springboard,actuality,ensue
kickoff,in_the_midst_of,therefrom
set_out,continuum,report
preface,current_event,fate
embarked,working,log
originating,meantime,resulting
before_times,circumstance,recounted
instructive,actuality,decision
obsolete,ongoing_task,wrap_up
incipient,actuality,afters
forerunner,real_time,consequently
preceeding,subsequent_to_start,consequently
precursor,in_the_midst_of,aftermath
headstart,unfolding,impact
infancy,segment,ongoing_impact
past,operation_time,ultimately
warming_up,transitional,afters
foretime,flowing,aftermath
spark,flowing,log
setoff,amid,culmination
opener,live_phase,reflection
inchoate,transitioning,close
set_in_motion,happens_to_be,post_event_analysis
set_in_motion,real_time,in_the_end
departed,co-occurring,solidified
initiate,in_between_time,conclusion
discarded,functioning,henceforth
initial,simultaneously,moving_on
formerly,implementation,concluded
alarm,passage,wrap_up
embarked,going_on,ensuing
bygone,conduction,finished_up
vacated,evolving,resolution
embryonic,happening,moving_on
threshold,in-course,resulting
introduction,staging,attained
origin,in_parallel,conclusion_phase
pioneering,concurrently,as_a_result
primordial,flowing,new_start
foretime,rolling,assessment
informer,interim,renewed
setoff,mid-action,final_act
lead-up,segment,effect
birth,operational,post_phase
signal,happening_now,recovery
relinquished,while,ensue
initiate,simultaneously,consequences
forephase,functioning,impact
prior,ongoing_task,fate
initially,evolving,direction
origin,while,ripples
foreword,operating,ending
embryonic,passage,ongoing_impact
launchpad,current_event,repercussion
originator,processing,epilogue
initially,span,insight
old,daytime,culmination
forerunner,simulcast,outlook
erstwhile,midst,follow_through
foreboding,co-occurring,eventually
predating,commanding,realized
start_point,continuum,completing
precursor,in_parallel,direction
announced,instantly,stepping_up
threshold,duration,ripples
advance,evolving_phase,concluded
begin,in_performance,reformed
alarm,acting_out,stabilized
first,in-action,residual
primordial,simulcast,close
antecedent,occupying,effect
embarked,evolving_phase,wrap_up_event
flint,meantime,direction
forerunner,flowing,realized
presage,performing,decision
entry_point,intermission,realized
aforetime,instantly,finished
upfront,pending,wrap_up_event
threshold,live,trace
earliest_times,while,finished
beforehand,treading,consequent
informer,meantime,ensue
opening,performing,wrap_up_event
departed,elapsed,backstory
initiate,ongoing,refined
introduction,timely,achievement
antecedent,continuing,outcome
prior_to,meantime,ultimatum
originator,being_done,new_start
threshold,span,outcome
initiative,segment,lookback
informer,going_on,concluding
presage,momentary,completing
catalyst,commanding,resolution
infant_stage,engaged,consequent
primordial,covering,finalized
opening,happening_now,conclusion
initiate,transitional,ultimatum
intro,ongoing_task,ensue
yesteryear,evolving_phase,sequel
deceased,segment,denouement
portent,rolling_phase,residue
preamble,amidst,ending
start_point,mid-action,memory
preamble,amid,moving_on
proactive,just_now,finished_up
inauguration,continuing,henceforth
upfront,staging,output
before_times,underway,finished
past,implementation,trace
set_in_motion,running,post_event
earliest,underway,eventually
previously,live_action,remainder
bygone,just_in,output
time_before,temporal_flow,final_act
departed,staging,spillover
foregoing,temporal,evaluation
dawn,in_motion,wrap_up
lead-up,interstitial,completing
takeoff,interval,following
advance,interval,residual
original,passage,consequences
preceding,working_on,evaluation
inceptive,simulcast,moving_on
run-up,coinciding,decision
portent,ongoing_task,finished
preliminary,occupying,retrospective
in_advance,expanding,close
herald,momentary,as_a_result
preceding,relevant_time,sequel
before,expanding,report
embarked,acting_out,remainder
launchpad,present_time,resulting
erstwhile,midway,finished
time_before,active,outlook
beforehand,inside_time,ongoing_impact
preceeding,during,ripples
originator,maintained,finally
forerunner,circumstance,carryover
instructive,taking_place,ongoing_impact
infant_stage,as,remainder
prelude,real_time,attained
prologue,occupying,retrospective
germinal,underway,tail_end
preface,while,stabilized
infant_stage,midway,wrap_up
intro,working_on,rear
ancestral,present,final_act
precursor,interim,remainder
trigger,rolling,sequel
old,middle_time,direction
vacated,happening_now,trace
prior_to,continuing,summary
discarded,rolling_phase,complete
announced,at_the_same_time,learning
opener,meantime,concluded
originator,intervening,post_event
proactive,temporal,succeeding
momentum,working,wrap_up_event
initiation,maintained,assessment
prelude,taking_effect,outcome
start,current_event,post_phase
preparation,tenure,resulting
archaic,co-occurring,ultimately
antecedent,in-course,after
introductory,continuum,ultimately
original,now,concluding
set_out,moment,finished_up
archaic,continuum,resolved
inauguration,simultaneously,finale
spearhead,taking_place,recovery
nascent,evolving,tail
preliminary,in_between_time,retire
setoff,live_action,ultimatum
preceeding,pending,carryover
founded,flowing,new_start
start_point,in_place,realized
pioneering,expanding,wrap_up_event
originating,temporal,concluding
instructive,co-occurring,finished_up
old,in-course,rear
initiative,live_action,built
previous,in_real_time,end_phase
preexistent,coinciding,exit
incipient,incident,attained
originating,at_the_same_time,attained
ante,while,exit
precursor,in_progress,ending
initial,as,refined
previously,now,post_phase
announced,interval,ripples
ante,interim,ultimately
old,happening,post
preface,conduction,renewed
initial,midst,remainder
preceding,subsequent_to_start,consequently
in_advance,happening,resulting
relinquished,in_performance,future_state
in_advance,just_in,progressed
preliminary,midst,eventually
birth,operational,posterior
groundwork,course_of,ensuing
preceding,elapsed,stabilized
embryonic,in_the_zone,assessment
preface,covering,finally
foreword,working_on,effect
preceeding,transitioning,ripples
infant_stage,in-action,achievement
portent,staging,learning
originating,course_of,new_phase
set_in_motion,execution_phase,outlook
initiation,conduction,established
pioneering,unfolding,eventually
foretime,instantaneous,residual
introductory,still_happening,gained
first_time,temporal_flow,realized
incipient,still_happening,retrospect
beforehand,middle,wrap_up_event
pathfinder,proceeding,consequences
warming_up,intermission,hindsight
foreword,in_between_time,ensue
preface,progressing,wrap_up_event
infancy,still_happening,reformed
in_the_past,at_the_same_time,gained
trailblazer,current_event,windup
preface,operation_time,subsequently
embarked,processing,backstory
trigger,segment,delivered
beginning,taking_place,wrap_up
prior,continuing,afterward
prequel,interstitial,succeeding
germinal,committed,realized
takeoff,present_time,post
vacated,mid-phase,attained
forerunner,present,recounted
inchoate,relevant_time,completing
set_out,realizing,conclusion
takeoff,dynamically,built
portent,underway,realized
in_the_past,timely,follow_on
momentum,continuously,established
signal,engaged,chronicle
activate,elapsed,evaluation
inauguration,coinciding,stepping_up
presage,right_now,culmination
nascent,middle_time,realized
prelude_to,evolving_phase,retrospective
flint,real_time,post_event_analysis
prior_to,dynamically,final_act
arising,being_done,transformed
forephase,moment,in_the_end
incipience,in_progress,realized
infant_stage,moment,sunset
initiative,acting_out,thereafter
preexistence,processing,exit
abandoned,unfolding,next
yesteryear,moment,achieved
originating,midst,improved
preface,commanding,recovery
opening,evolving_phase,as_a_result
forephase,circumstance,tail
initiative,current_event,ensuing
precursor,in-course,following
vacated,maintained,wrap_up_event
yesteryear,going_on,future_state
onset,real_time,epilogue
old,operating,close
trailblazer,tenure,retrospect
departed,acting_out,chronicle
run-up,ongoing_phase,finish
advance,inside_time,outcome
earlier,coinciding,trace
prior_to,instantaneous,concluded
foreword,implementation,impact
precursory,implementation,report
momentum,now,wrap_up
original,still_happening,closure
prelude_to,just_now,evaluation
preamble,simulcast,spillover
initially,taking_place,reformed
preceeding,temporal,after
first_time,conduction,finished_up
proactive,live,eventually
time_before,subsequent_to_start,closure
initially,tenure,resolved
set_in_motion,live_action,lookback
warning,momentary,resolution
incipience,in_real_time,learning
threshold,conduction,future
ancestral,in_the_midst_of,retrospective
yesteryear,conduction,sequel
birth,segment,hindsight
birth,rolling,fate
preliminary,right_now,report
opener,in-action,close
pioneering,working,reflection
intro,middle,record
retired,happening,new_phase
portent,rolling_phase,reflection
incipience,just_now,conclusion_phase
instigator,working,concluding
preface,simultaneously,learning
previous,period,achievement
instructive,underway,post_reflection
prior_to,operation_time,achievement
trigger,ongoing_process,spillover
nascent,in_performance,consequently
headstart,tenure,renewed
initiate,span,close
beginning,ongoing_process,output
pioneering,relevant_time,final_act
time_before,in_place,tail_end
dawn,middle,rear
abandoned,carrying_out,future
kickoff,duration,improved
herald,momentary,outcome
outdated,rolling,gained
abandoned,committed,post
nascent,right_now,improved
first,concurrent,post_event
setoff,segment,remainder
originator,conduction,as_a_result
before,active,completing
portent,progressing,improved
start_point,in_motion,denouement
precursory,co-occurring,tail
preparation,middle_of,retrospective
yesteryear,live_action,post_reflection
prelude_to,occupying,decision
onset_phase,being_done,record
emergence,nonstop,culmination
erstwhile,mid-action,consequently
portent,amidst,finale
ancestral,in_motion,direction
ante,operation_time,residual
preceeding,in_the_zone,renewed
initially,in_performance,reflection
prologue,operation_time,proceeding
startup,in_the_now,renewed
ignite,execution_phase,postscript
springboard,present,progressed
instructive,active,post_event_analysis
catalyst,in_place,report
trigger,continuum,evaluation
initial_phase,momentary,learning
embarked,maintained,residue
preface,transitioning,achievement
start,being_done,sequel
onset,active,fulfillment
proactive,ongoing_phase,end_phase
preface,present,improved
in_advance,transitioning,final_phase
trailblazer,span,spillover
portent,conduction,residue
origin,operating,ultimately
spearhead,in-action,chronicle
deceased,elapsed,conclusion
preceeding,live_session,final_act
forerunner,transpiring,ripples
incipient,maintained,complete
foreword,in-action,afterward
bygone,in_the_now,finish
outdated,incident,post
prologue,segment,reformed
begin,performing,chronicle
instructive,ongoing,wrap_up
prior,present_time,attained
once,realizing,archive
informer,live,future_state
past,operational,carryover
initial_phase,carrying_out,residual
warning,implementation,epilog
trigger,passage,retrospective
deceased,duration,final_act
past,in_parallel,hindsight
obsolete,running,log
dawn,instantaneous,fulfillment
headstart,daytime,subsequently
inceptive,tenure,finale
trigger,during,post_reflection
embarked,intermission,end_phase
pathfinder,relevant_time,retrospective
nascent,temporal,aftermath
earliest_times,simulcast,residue
prelude_to,inside_time,concluded
germinal,interim,repercussion
already,throughout,consequences
leading_up,duration,delivered
formerly,in_between,wrap
infancy,in_the_midst_of,thereafter
kickoff,tenure,remainder
headway,flowing,future_state
pioneering,rolling,finally
time_before,in_real_time,new_phase
formerly,acting_out,gained
prior,commanding,evaluation
preparation,working_on,as_a_result
ahead_of,live_phase,spillover
threshold,in_real_time,epilog
before_times,going_on,postscript
begin,just_in,fulfillment
prior_to,dynamically,complete
startup,in_place,new_start
foreboding,unfolding,outcome
pioneering,rolling_phase,post_event_analysis
herald,implementation,progressed
original,actuality,delivered
introductory,present_time,retire
first,present_time,repercussion
herald,conduction,trace
inchoate,simultaneously,retrospective
original,in_motion,windup
time_before,execution_phase,follow_through
ancestral,functioning,trace
ancestral,in_progress,next
ignite,just_in,rear
aforetime,amid,concluded
initial_phase,dynamically,sunset
herald,in_place,achievement
spearhead,temporal,archive
time_before,acting,end_phase
embarked,execution,post_reflection
alarm,in_place,ending
prior,in_frame,epilog
groundwork,processing,residual
inauguration,operating,afters
momentum,concurrent,epilogue
preamble,duration,afters
preceeding,covering,learning
advance,period,post_event
formerly,concurrently,final_phase
already,realizing,memory
arising,continuum,final_act
emergence,staging,exit
in_the_past,acting_out,reflection
birth,acting_out,completing
ancestral,pending,direction
presage,still_happening,insight
prequel,in_the_now,transformed
spearhead,instantly,future
preface,passage,finale
previous,implemented,next
portent,passage,afters
commencement,elapsed,legacy
setoff,transitioning,post_event_analysis
yesteryear,underway,memory
beforehand,mid-phase,spillover
antecedent,going_on,later
introductory,moment,retrospective
discarded,engaged,new_phase
preceding,intervening,denouement
alarm,period,postscript
pathfinder,middle_time,retrospective
previously,in_real_time,stepping_up
entry_point,running,coda
launchpad,in_the_zone,succeeding
emergence,intervening,retrospect
beginning,continuing,aftermath
prior_to,concurrently,next
inauguration,in_performance,conclusion
ignite,in_between_time,learning
original,in_frame,reflection
departed,in_between_time,finished_up
embryonic,tenure,realized
instructive,period,gained
warning,occupying,resolution
initiation,just_now,afters
introductory,functioning,record
preceding,instantaneous,therefrom
antecedent,intervening,ongoing_impact
incipient,conduction,epilogue
vacated,tenure,prognosis
time_before,interstitial,culmination
discarded,relevant_time,residue
spark,momentary,moving_forward
inauguration,taking_effect,next
beforehand,just_now,terminal
germinal,daytime,recovery
opener,at_the_same_time,ensue
before,interim,set_path
time_before,interim,afterward
incipience,in_the_now,summary
abandoned,segment,ensuing
preface,interstitial,denouement
prior,live_session,consequences
first,midst,posterior
preparation,rolling,evaluation
preamble,period,new_phase
startup,timely,stepping_up
nascent,present_time,resulting
early_days,proceeding,gained
ahead_of,in_real_time,tail_end
preparation,actuality,follow_through
preliminary,actuality,afters
start_point,execution,moving_on
instructive,middle_time,delivered
upfront,ongoing,denouement
retired,advance_in_progress,prognosis
springboard,period,realized
set_out,functioning,culmination
early_days,in_progress,aftermath
incipience,meantime,henceforth
obsolete,interstitial,closure
preamble,in_between,hindsight
alarm,as,ripples
commencement,maintained,stepping_up
upfront,performing,wrap
obsolete,temporal,finished
prelude,incident,posterior
herald,occupying,built
earliest,continuum,exit
abandoned,rolling,future_state
originator,dynamically,insight
ante,coinciding,finished
preface,mid-phase,consequent
alarm,instantly,exit
primordial,throughout,denouement
formerly,timely,improved
set_in_motion,ongoing_process,culmination
takeoff,interim,posterior
deceased,ongoing,ensuing
arising,in_the_midst_of,attained
prequel,in_progress,tail
ante,ongoing,concluded
foreword,in_the_now,stabilized
early_days,operating,trace
aforetime,maintained,tail_end
first_time,happening_now,close
retired,duration,epilog
nascent,temporal,succeeding
takeoff,meantime,terminal
first_time,in_between,conclusion
forerunner,course_of,postscript
introductory,going_on,in_the_end
lead-up,middle,wrap_up
first_time,live_action,proceeding
begin,treading,direction
obsolete,at_the_same_time,follow_on
prequel,real_time,moving_forward
predating,acting,consequences
ignite,while,afterward
formerly,co-occurring,post_phase
beginning,amidst,consequences
archaic,middle,final_phase
deceased,course_of,aftermath
primordial,subsequent_to_start,improved
alarm,inside_time,improved
forephase,daytime,completing
in_advance,in_between,proceeding
relinquished,while,decision
activate,unfolding,ongoing_impact
herald,temporal,wrap_up_event
introduction,during,outlook
initiate,just_now,remainder
pathfinder,transpiring,achieved
warming_up,in_parallel,resolved
flint,continuum,retrospect
previous,engagement,following
original,processing,achievement
previously,present_time,wrap
startup,flowing,postscript
commencement,taking_effect,repercussion
threshold,advance_in_progress,impact
primordial,happening,ripples
obsolete,going_on,achieved
headstart,engagement,hindsight
once,acting,reformed
introduction,live_action,outcome
ahead_of,incident,spillover
embarked,course_of,finished_up
time_before,taking_effect,afters
foreword,mid-action,follow_through
opening,realizing,final_phase
sooner,ongoing_phase,post_phase
start,commanding,follow_through
preamble,acting_out,new_phase
initial,middle_of,assessment
initial,staging,windup
headway,still_happening,complete
advance,realizing,repercussion
preceeding,present_time,evaluation
opening,ongoing_moment,tail_end
introduction,unfolding,direction
introductory,middle_of,ripples
momentum,in_the_midst_of,set_path
trigger,present,enclosure
time_before,rolling_phase,log
sooner,operating,proceeding
embryonic,happening_now,afterward
preparation,in_the_midst_of,future_state
signal,midst,consequences
foreword,in_the_now,epilog
announced,execution_phase,terminal
emergence,implemented,complete
precursory,moment,ongoing_impact
already,amid,moving_on
spearhead,coinciding,summary
pioneering,being_done,follow_on
warning,intermission,follow_on
in_advance,proceeding,finish
foretime,execution,summary
dawn,ongoing_phase,final_phase
dawn,current,new_phase
herald,committed,assessment
springboard,as,as_a_result
begin,happening_now,carryover
startup,engagement,wrap
yesteryear,meantime,moving_forward
prior_to,timely,proceeding
introductory,interstitial,next
begin,engaged,solidified
in_the_past,span,epilogue
opening,in_progress,resolution
outdated,momentary,in_the_end
initiative,intervening,thereafter
first_step,concurrently,realized
launchpad,coinciding,wrap_up_event
formerly,expanding,carryover
obsolete,ongoing_task,finished_up
embarked,intermission,improved
discarded,transpiring,epilog
before_times,processing,final_act
embarked,in_progress,future_state
alarm,span,final_act
previous,just_in,consequent
onset,live_action,henceforth
sooner,momentary,trace
catalyst,while,post_phase
forephase,instantaneous,follow_on
inauguration,ongoing_task,denouement
announced,happening_now,windup
preexistent,continuing,ensuing
opening,rolling_phase,delivered
initial,course_of,concluded
preparation,maintained,summary
precursor,advance_in_progress,assessment
start,interstitial,transformed
originating,nonstop,moving_on
outdated,temporal,proceeding
in_the_past,segment,evaluation
in_advance,being_done,later
infancy,inside_time,wrap_up_event
groundwork,evolving,legacy
onset,just_in,decision
abandoned,carrying_out,terminal
previously,in_progress,completing
infant_stage,intervening,established
warming_up,transitioning,retrospective
origin,in_place,ensue
in_the_past,instantaneous,ultimately
emergence,interstitial,retire
bygone,conduction,end_phase
founded,in_performance,backstory
in_advance,middle_time,refined
forerunner,transitioning,solidified
startup,unfolding,aftermath
precursor,midst,conclusion_phase
initiate,nonstop,realized
obsolete,passage,chronicle
scaffold,flowing,in_the_end
